procurement-id_id-approvisionnement,Project-number_Numéro-de-projet,Vendor-name_Nom-du-fournisseur,Payment-date_Date-de-paiement,Proper-Invoice-Received-Date_date-de-réception-de-la-facture-en-règle
ED00183131,R.090981.002,"WM & M (1993) LTD",2018-12-01,2018-11-06
ET25181133,R.097486.002,"AECOM CANADA LTD.",2018-12-01,2018-11-07
EA00391117,R.099925.002,"MERIDIAN ENGINEERING INC.",2018-12-01,2018-11-07
EE51771780,R.172019.001,"DRAGAGE OCÉAN DM INC.",2018-12-01,2018-11-07
EJ19622337,,"G A L POWER SYSTEMS OTTAWA LTD",2018-12-04,2018-11-09
700398831,R.014204.301,"ENERCHEM INTERNATIONAL INC.",2018-12-04,2018-11-09
EC01660846,R.035143.001,"AVONDALE CONSTRUCTION LIMITED",2018-12-04,2018-11-09
EF92881231,R.049450.005,"SERVICE & CONTRUCTION MOBILE LTEE",2018-12-04,2018-11-08
EQ75441656,R.050927.104,"RIGGS ENGINEERING LTD.",2018-12-04,2018-11-10
EQ44781122,R.050927.204,"RIGGS ENGINEERING LTD.",2018-12-04,2018-11-10
EA00380945,R.057194.006,"J.M.J. HOLDINGS LTD.",2018-12-04,2018-11-05
ED00190566,R.062304.003,"OLYMPIA ELECTRIC LTD.",2018-12-04,2018-11-09
EJ19613475,R.064594.529,"DAIKIN APPLIED CANADA INC.",2018-12-04,2018-11-03
EF181551,R.073661.100,"BRITTON ELECTRIQUE CO",2018-12-04,2018-11-08
EC01590461,R.075952.001,"SPERRA CONSTRUCTION GROUP INC.",2018-12-04,2018-11-08
EV38580424,R.076783.001,"HIPPERSON CONSTRUCTION PARTNERSHIP",2018-12-04,2018-11-09
EW03880587,R.077217.001,"SETANTA CONTRACTING LTD.",2018-12-04,2018-11-10
ED00172529,R.078573.003,"GAUDETTE'S TRANSIT MIX LTD.",2018-12-04,2018-11-09
EQ75480161,R.078904.001,"PRIESTLY DEMOLITION INC.",2018-12-04,2018-11-08
EQ75172991,R.079166.006,"CONSULTANTS AECOM INC. AECOM",2018-12-04,2018-11-09
EE52082382,R.079763.001,"MAÇONNERIE DYNAMIQUE LTÉE",2018-12-04,2018-11-08
EE52073040,R.081006.001,"BRIQUETAL LTÉE",2018-12-04,2018-11-08
EB14482527,R.082156.001,"ATLANTICA MECHANICAL CONTRACTORS",2018-12-04,2018-11-08
ET25183260,R.082769.001,"KUDLIK CONSTRUCTION LTD.",2018-12-04,2018-11-09
EE47471393,R.082893.363,"POMERLEAU INC.",2018-12-04,2018-11-08
EE47471393,R.082893.365,"POMERLEAU INC.",2018-12-04,2018-11-08
EE47471393,R.082893.367,"POMERLEAU INC.",2018-12-04,2018-11-08
EE47471393,R.082893.574,"POMERLEAU INC.",2018-12-04,2018-11-09
EP78880832,R.083724.210,"ASBEX LTD",2018-12-04,2018-11-08
EP92282122,R.084190.001,"HRN CONTRACTING LTD.",2018-12-04,2018-10-09
E144180467,R.086866.001,"MAXIM 2000 INC.",2018-12-04,2018-11-08
EC37390589,R.089497.003,"MIRA CONSTRUCTION LTD",2018-12-04,2018-11-08
ET25190301,R.089813.001,"CHEGUIS & SON PLUMBING AND HEATING",2018-12-04,2018-11-08
EA00391143,R.089926.001,"TRAYTOWN BUILDERS LTD",2018-12-04,2018-11-05
ET25190597,R.094327.001,"ALLEN & BOLACK EXCAVATING LTD.",2018-12-04,2018-11-09
EP73183336,R.094977.050,"2452758 ONTARIO LTD.",2018-12-04,2018-11-08
EB14490730,R.097716.005,"DILLON CONSULTING LIMITED",2018-12-04,2018-11-09
E191024001,R.097978.001,"DIRECT ROOFING AND WATERPROOFING LT",2018-12-04,2018-11-08
E899180535,R.016015.001,"HALLMARK FACILITY SERVICES INC.",2018-12-05,2018-11-06
E425150319,R.016747.001,"JOSEPH BELANGER",2018-12-05,2018-11-05
E190264001,R.017173.320,"VERTICAL BUILDING SOLUTIONS INC",2018-12-05,2018-11-08
EB14472646,R.065476.700,"JONELJIM CONCRETE CONSTRUCTION",2018-12-05,2018-11-07
EB14481757,R.065476.707,"JONELJIM CONCRETE CONSTRUCTION",2018-12-05,2018-11-07
EB20180972,R.073592.001,"ARCP - ATLANTIC ROAD CONSTRUCTION",2018-12-05,2018-11-07
EQ75170968,R.076951.039,"MAPLE REINDERS CONSTRUCTORS LTD.",2018-12-05,2018-11-11
E181343001,R.077016.001,"J.D.G. CONSTRUCTION MANAGEMENT LTD.",2018-12-05,2018-11-05
EJ19690762,,"SIEMENS INDUSTRY SOFTWARE",2018-12-06,2018-11-05
EF92881252,R.035613.025,"LES EQUIPEMENTS CLAUDE PEDNEAULT",2018-12-06,2018-11-12
EJ19682721,R.041736.240,"CHUBB EDWARDS A UTC FIRE & SECURITY",2018-12-06,2018-11-05
EJ19682721,R.041736.249,"CHUBB EDWARDS A UTC FIRE & SECURITY",2018-12-06,2018-11-05
EJ19682721,R.041736.262,"CHUBB EDWARDS A UTC FIRE & SECURITY",2018-12-06,2018-11-05
EJ19682733,R.041736.421,"CHUBB EDWARDS A UTC FIRE & SECURITY",2018-12-06,2018-11-05
EJ19682733,R.041736.501,"CHUBB EDWARDS A UTC FIRE & SECURITY",2018-12-06,2018-11-05
EJ19682733,R.041736.504,"CHUBB EDWARDS A UTC FIRE & SECURITY",2018-12-06,2018-11-05
EJ19682733,R.041736.507,"CHUBB EDWARDS A UTC FIRE & SECURITY",2018-12-06,2018-11-05
EJ19682733,R.041736.508,"CHUBB EDWARDS A UTC FIRE & SECURITY",2018-12-06,2018-11-05
EJ19682733,R.041736.509,"CHUBB EDWARDS A UTC FIRE & SECURITY",2018-12-06,2018-11-05
EJ19681405,R.041736.532,"G A L POWER SYSTEMS OTTAWA LTD",2018-12-06,2018-11-12
EF94472249,R.042032.001,"CONSTRUCTION BUGERE INC",2018-12-06,2018-11-06
EE51980590,R.049847.001,"SANI-SABLE L.B. INC.",2018-12-06,2018-11-12
EJ19670523,R.064512.051,"LAR-MEX INC.",2018-12-06,2018-11-05
EJ19670523,R.064594.555,"LAR-MEX INC.",2018-12-06,2018-11-05
EB14472646,R.065476.700,"JONELJIM CONCRETE CONSTRUCTION",2018-12-06,2018-10-11
EB14481757,R.065476.707,"JONELJIM CONCRETE CONSTRUCTION",2018-12-06,2018-10-11
EE52082837,R.077244.001,"HAMEL CONSTRUCTION INC.",2018-12-06,2018-11-12
EJ19615167,R.011899.009,"THE DOOR COMPANY INC.",2018-12-07,2018-09-04
EJ19640722,R.026001.028,"EATON INDUSTRIES (CANADA) COMPANY",2018-12-07,2018-11-13
EJ19640722,R.041736.717,"EATON INDUSTRIES (CANADA) COMPANY",2018-12-07,2018-11-13
EJ19640722,R.041736.773,"EATON INDUSTRIES (CANADA) COMPANY",2018-12-07,2018-11-13
EJ19640722,R.041736.775,"EATON INDUSTRIES (CANADA) COMPANY",2018-12-07,2018-11-13
EB14490579,R.065476.710,"JONELJIM CONCRETE CONSTRUCTION",2018-12-07,2018-11-02
EB14490610,R.065476.711,"JONELJIM CONCRETE CONSTRUCTION",2018-12-07,2018-11-02
EE52081001,R.077849.001,"CONSTRUCTION SIMDEV INC.",2018-12-07,2018-11-13
EQ75190954,R.079166.009,"2220742 ONTARIO LTD.",2018-12-07,2018-11-13
E072070/C,R.079450.001,"GREEN TIMBERS LIMITED PARTNERSHIP",2018-12-07,2018-11-13
EP91682098,R.081640.014,"BRAWN CONSTRUCTION LTD",2018-12-07,2018-11-13
EJ19640722,R.081789.002,"EATON INDUSTRIES (CANADA) COMPANY",2018-12-07,2018-11-13
EP91690019,R.083084.206,"ABI / ADVANCED BUSINESS INTERIORS",2018-12-07,2018-11-13
EF183291,R.090928.001,"THYSSENKRUPP ELEVATOR (CANADA)",2018-12-07,2018-11-13
EF19056,R.091106.001,"CONSTRUCTION BUGERE INC",2018-12-07,2018-11-13
EJ19611374,,"THYSSENKRUPP ELEVATOR (CANADA)",2018-12-08,2018-11-14
EJ19670141,,"JOHNSON CONTROLS CANADA LP",2018-12-08,2018-11-14
EJ19681267,,"BLACK & MCDONALD LTD.",2018-12-08,2018-11-14
EQ75191239,,"PARSONS INC",2018-12-08,2018-10-30
EJ19662173,R.010277.119,"MODERN NIAGARA OTTAWA INC.",2018-12-08,2018-11-14
EJ19662173,R.010277.120,"MODERN NIAGARA OTTAWA INC.",2018-12-08,2018-11-14
EJ19682427,R.026001.021,"VCI CONTROLS INC.",2018-12-08,2018-11-14
EJ19640470,R.041463.011,"VCI CONTROLS INC.",2018-12-08,2018-11-14
EJ19671602,R.041736.161,"PIVOTECH DOORS INC.",2018-12-08,2018-11-14
EN19603874,R.041736.166,"OTIS CANADA INC",2018-12-08,2018-11-14
EJ19652022,R.041736.172,"SIEMENS CANADA LIMITED",2018-12-08,2018-11-14
EJ19671527,R.041736.203,"R.E.L. CONTROLS INC.",2018-12-08,2018-11-14
EJ1960401,R.041736.266,"OTIS CANADA INC",2018-12-08,2018-11-14
EJ19671602,R.041736.299,"PIVOTECH DOORS INC.",2018-12-08,2018-11-14
EP78812096,R.041736.302,"OTIS CANADA INC",2018-12-08,2018-11-14
EJ19660676,R.041736.319,"AUTOMATED LOGIC - CANADA, LTD.",2018-12-08,2018-11-14
EJ19682733,R.041736.501,"CHUBB EDWARDS A UTC FIRE & SECURITY",2018-12-08,2018-11-14
EJ19682734,R.041736.510,"TYCO INTEGRATED FIRE & SECURITY",2018-12-08,2018-11-14
EJ19682734,R.041736.511,"TYCO INTEGRATED FIRE & SECURITY",2018-12-08,2018-11-14
EJ19682734,R.041736.512,"TYCO INTEGRATED FIRE & SECURITY",2018-12-08,2018-11-14
EJ19682734,R.041736.513,"TYCO INTEGRATED FIRE & SECURITY",2018-12-08,2018-11-14
EJ19671602,R.041736.704,"PIVOTECH DOORS INC.",2018-12-08,2018-11-14
EJ19670124,R.041736.845,"OTIS CANADA INC",2018-12-08,2018-11-14
EJ19670258,R.041736.894,"AUTOMATED LOGIC - CANADA, LTD.",2018-12-08,2018-11-14
EQ44772597,R.050927.202,"MILESTONE ENVIRONMENTAL",2018-12-08,2018-11-14
EJ19662008,R.064594.514,"CHUBB EDWARDS A UTC FIRE & SECURITY",2018-12-08,2018-11-14
EJ19680328,R.064594.518,"VCI CONTROLS INC.",2018-12-08,2018-11-14
EJ19662008,R.064594.519,"CHUBB EDWARDS A UTC FIRE & SECURITY",2018-12-08,2018-11-14
EJ19650923,R.064594.520,"AINSWORTH INC.",2018-12-08,2018-11-14
EJ19690410,R.064594.523,"CHUBB EDWARDS A UTC FIRE & SECURITY",2018-12-08,2018-11-14
EQ75017086,R.065728.301,"MAPLE REINDERS CONSTRUCTORS LTD.",2018-12-08,2018-11-14
EQ73482412,R.068488.001,"QUINAN CONSTRUCTION LIMITED",2018-12-08,2018-11-14
E190130001,R.069377.001,"KINETIC CONSTRUCTION LTD.",2018-12-08,2018-11-13
EH9007324A,R.073422.329,"PCL CONSTRUCTORS CANADA INC.",2018-12-08,2018-11-09
EP92280781,R.075721.001,"L. W. DENNIS CONTRACTING LTD.",2018-12-08,2018-11-14
EQ75017086,R.076951.109,"MAPLE REINDERS CONSTRUCTORS LTD.",2018-12-08,2018-11-14
EQ75017086,R.076951.209,"MAPLE REINDERS CONSTRUCTORS LTD.",2018-12-08,2018-11-14
EQ75017086,R.076951.309,"MAPLE REINDERS CONSTRUCTORS LTD.",2018-12-08,2018-11-14
EQ75017086,R.076951.409,"MAPLE REINDERS CONSTRUCTORS LTD.",2018-12-08,2018-11-14
EQ75017086,R.076951.509,"MAPLE REINDERS CONSTRUCTORS LTD.",2018-12-08,2018-11-14
EQ75017086,R.076951.609,"MAPLE REINDERS CONSTRUCTORS LTD.",2018-12-08,2018-11-14
EQ75017086,R.076951.709,"MAPLE REINDERS CONSTRUCTORS LTD.",2018-12-08,2018-11-14
EE52080515,R.077223.110,"ROXBORO EXCAVATION INC.",2018-12-08,2018-11-14
EE52080826,R.077223.210,"CONSTRUCTION DEMATHIEU & BARD",2018-12-08,2018-11-14
EE52090691,R.077223.220,"TISSEUR INC.",2018-12-08,2018-11-14
EQ75481733,R.080426.001,"QUINAN CONSTRUCTION LIMITED",2018-12-08,2018-11-12
EE52083043,R.081008.001,"MAÇONNERIE DYNAMIQUE LTÉE",2018-12-08,2018-11-14
EP0768005,R.081805.201,"3V MECHANICAL INC",2018-12-08,2018-11-14
E191068001,R.082008.001,"ONLINE CONSTRUCTORS LTD.",2018-12-08,2018-11-14
EB14472573,R.082151.001,"AVONDALE CONSTRUCTION LIMITED",2018-12-08,2018-11-14
EP91690019,R.083084.206,"ABI / ADVANCED BUSINESS INTERIORS",2018-12-08,2018-11-14
EQ75490230,R.084460.001,"2220742 ONTARIO LTD.",2018-12-08,2018-11-14
EE51982672,R.088138.001,"LES CONSTRUCTION BLH (1997) INC.",2018-12-08,2018-11-14
EQ75482430,R.089868.001,"PARSONS INC",2018-12-08,2018-11-14
EC01683221,R.090452.001,"MCW CONSULTANTS LTD.",2018-12-08,2018-11-14
E181010001,R.090457.002,"SCANSA CONSTRUCTION LTD.",2018-12-08,2018-11-14
EW03890746,R.091026.001,"OLSON MECHANICAL LTD.",2018-12-08,2018-11-14
EQ73490435,R.093606.001,"TOWNSEND & SONS CONTRACTING LTD.",2018-12-08,2018-11-12
EHA0182353,,"SP PLUS CORPORATION CANADA",2018-12-11,2018-11-16
EJ19650497,,"SIEMENS CANADA LIMITED",2018-12-11,2018-11-15
EF160925,R.001805.139,"CORPORATION DE CONSTRUCTION GERMANO",2018-12-11,2018-11-15
EJ1965206,R.011899.008,"AINSWORTH INC.",2018-12-11,2018-11-15
700403495,R.017173.231,"TETRA TECH CANADA INC.",2018-12-11,2018-11-15
E191011001,R.017173.304,"GARCIA AND SONS TRANSFER LTD.",2018-12-11,2018-11-15
EJ19671537,R.041736.228,"JOHNSON CONTROLS CANADA LP",2018-12-11,2018-11-15
EJ19671537,R.041736.232,"JOHNSON CONTROLS CANADA LP",2018-12-11,2018-11-15
EJ19671537,R.041736.277,"JOHNSON CONTROLS CANADA LP",2018-12-11,2018-11-15
EJ19671537,R.041736.339,"JOHNSON CONTROLS CANADA LP",2018-12-11,2018-11-15
EJ19671537,R.041736.474,"JOHNSON CONTROLS CANADA LP",2018-12-11,2018-11-15
EC15172663,R.051357.006,"GEMTEC CONSULTING ENGINEERS AND",2018-12-11,2018-11-15
EQ75480422,R.059792.005,"LOUIS W. BRAY CONSTRUCTION LIMITED",2018-12-11,2018-11-16
EJ19680241,R.064594.556,"BAXTEC MANAGEMENT CORPORATION",2018-12-11,2018-11-10
EJ19660087,R.064594.823,"AINSWORTH INC.",2018-12-11,2018-11-15
EP91682904,R.065220.386,"3955788 CANADA INC.",2018-12-11,2018-11-15
ET25181955,R.065684.004,"GRAHAM CONSTRUCTION AND",2018-12-11,2018-11-15
EB14451235,R.073210.001,"CRANDALL ENGINEERING LTD.",2018-12-11,2018-11-15
EH90060791,R.073422.330,"DST CONSULTING ENGINEERS INC.",2018-12-11,2018-11-15
ET25142895,R.073760.001,"HDK CONSULTING INCORPORATED",2018-12-11,2018-11-15
EF181175,R.078693.250,"MGB ASSOCIÉS INC.",2018-12-11,2018-11-16
EE52072896,R.079386.001,"ATWILL-MORIN GROUP INC./",2018-12-11,2018-11-16
EE52090068,R.081007.001,"BRIQUETAL LTÉE",2018-12-11,2018-11-15
EE52082257,R.081014.100,"CONSTRUCTIONS BSL INC.",2018-12-11,2018-11-16
EB14480461,R.082082.005,"LESLIE & BENN CONTRACTING LIMITED",2018-12-11,2018-11-16
EB14481011,R.082151.005,"AVONDALE CONSTRUCTION LIMITED",2018-12-11,2018-11-16
EB14480169,R.082348.006,"LESLIE & BENN CONTRACTING LIMITED",2018-12-11,2018-11-16
EJ19672264,R.087000.002,"SIEMENS CANADA LIMITED",2018-12-11,2018-11-15
EF92890204,R.089557.001,"LOISELLE INC.",2018-12-11,2018-11-16
E535180717,R.090120.001,"WATERDON CONSTRUCTION LIMITED",2018-12-11,2018-10-26
ET25181620,R.094327.001,"ASSOCIATED ENGINEERING (SASK.) LTD.",2018-12-11,2018-11-16
EB14490194,R.097405.001,"ALVA CONSTRUCTION LIMITED",2018-12-11,2018-11-16
EB20162806,R.080316.001,"QUINAN CONSTRUCTION LIMITED",2018-12-12,2018-10-19
EE47471393,R.082893.365,"POMERLEAU INC.",2018-12-12,2018-11-17
E190721001,R.087734.001,"CMF CONSTRUCTION LTD",2018-12-12,2018-11-16
E172412001,R.090411.003,"FRASER RIVER PILE&DREDGE (GP) INC.O",2018-12-12,2018-11-18
EJ19681267,,"BLACK & MCDONALD LTD.",2018-12-13,2018-11-12
EP75670422,R.009790.250,"POMERLEAU INC.",2018-12-13,2018-11-15
EP75670422,R.011945.176,"POMERLEAU INC.",2018-12-13,2018-11-15
E02090884,R.013863.001,"AUTOMATIC CONTROLS (EDMONTON) LTD.",2018-12-13,2018-11-19
EW03890845,R.015992.489,"TAURUS CONTRACTORS LTD.",2018-12-13,2018-11-19
EW03890845,R.015992.626,"TAURUS CONTRACTORS LTD.",2018-12-13,2018-11-19
E02268C004,R.029903.019,"OTIS CANADA INC",2018-12-13,2018-11-26
EJ19682733,R.041736.501,"CHUBB EDWARDS A UTC FIRE & SECURITY",2018-12-13,2018-11-15
EJ19682733,R.041736.508,"CHUBB EDWARDS A UTC FIRE & SECURITY",2018-12-13,2018-11-15
EF92872441,R.057854.400,"GOLDER ASSOCIATES LTD.",2018-12-13,2018-11-19
EF92872441,R.057854.500,"GOLDER ASSOCIATES LTD.",2018-12-13,2018-11-19
EV38580231,R.067157.018,"CCR CONSTRUCTION LTD.",2018-12-13,2018-11-09
EV38580231,R.067241.021,"CCR CONSTRUCTION LTD.",2018-12-13,2018-11-09
EP75670422,R.069152.255,"POMERLEAU INC.",2018-12-13,2018-11-15
EQ75162678,R.076951.059,"ELLISDON CIVIL LTD, CHANT LTD,",2018-12-13,2018-11-19
EQ75162678,R.076951.999,"ELLISDON CIVIL LTD, CHANT LTD,",2018-12-13,2018-11-19
EW03880587,R.077214.001,"SETANTA CONTRACTING LTD.",2018-12-13,2018-11-08
EW03880587,R.077218.001,"SETANTA CONTRACTING LTD.",2018-12-13,2018-11-08
E160345001,R.077720.001,"MICHAEL CUCCIONE",2018-12-13,2018-11-19
E160345001,R.077723.001,"MICHAEL CUCCIONE",2018-12-13,2018-11-19
E160345001,R.077724.001,"MICHAEL CUCCIONE",2018-12-13,2018-11-19
E160345001,R.077725.001,"MICHAEL CUCCIONE",2018-12-13,2018-11-19
E160345001,R.078882.001,"MICHAEL CUCCIONE",2018-12-13,2018-11-19
EQ73481308,R.079534.002,"TOWNSEND & SONS CONTRACTING LTD.",2018-12-13,2018-11-15
EB14480894,R.082155.001,"DEXTER CONSTRUCTION COMPANY LIMITED",2018-12-13,2018-08-08
E160345001,R.082592.001,"MICHAEL CUCCIONE",2018-12-13,2018-11-19
EB14482595,R.083308.001,"ROSCOE CONSTRUCTION LIMITED",2018-12-13,2018-11-19
EP75670422,R.083361.216,"POMERLEAU INC.",2018-12-13,2018-11-15
EP75670422,R.083361.255,"POMERLEAU INC.",2018-12-13,2018-11-15
EP75670422,R.083751.003,"POMERLEAU INC.",2018-12-13,2018-11-15
EP92271869,R.086095.001,"CHANDOS CONSTRUCTION LP",2018-12-13,2018-11-19
EP75670422,R.086155.250,"POMERLEAU INC.",2018-12-13,2018-11-15
EP75670422,R.086458.215,"POMERLEAU INC.",2018-12-13,2018-11-15
EP75670422,R.088888.250,"POMERLEAU INC.",2018-12-13,2018-11-15
EF99790030,R.089511.001,"LA COMPAGNIE DE CONSTRUCTION ET DE",2018-12-13,2018-11-19
EP07690081,R.094486.001,"ALLIANCE ENGINEERING & CONSTRUCTION",2018-12-13,2018-11-19
EP75670422,R.095168.250,"POMERLEAU INC.",2018-12-13,2018-11-15
E160345001,R.097201.001,"MICHAEL CUCCIONE",2018-12-13,2018-11-19
E160345001,R.097203.001,"MICHAEL CUCCIONE",2018-12-13,2018-11-19
E160345001,R.097219.001,"MICHAEL CUCCIONE",2018-12-13,2018-11-19
ED02110512,,"THYSSENKRUPP ELEVATOR (CANADA) LTD.",2018-12-14,2018-11-20
EJ19650108,,"HEWITT EQUIPMENT LIMITED / HEWITT",2018-12-14,2018-11-20
E899141458,R.016018.001,"PRIME BUILDING MAINTENANCE LTD.",2018-12-14,2018-11-15
E022533381,R.024343.002,"D.F.S. INC.",2018-12-14,2018-11-01
EE51990272,R.044042.001,"LES ENTREPRISES P E C INC",2018-12-14,2018-11-20
EC15171535,R.051357.006,"MAXIM 2000 INC.",2018-12-14,2018-11-20
EJ19650737,R.064594.752,"CUMMINS CANADA ULC",2018-12-14,2018-11-20
EV38582823,R.080653.001,"ALLIANCE ENERGY LTD.",2018-12-14,2018-11-20
EC96183244,R.083347.002,"ROD MACLEOD CONSTRUCTION LTD.",2018-12-14,2018-11-20
EP92290102,R.090861.001,"GOLDBAR CONTRACTORS INC",2018-12-14,2018-11-20
EJ19650574,R.097112.058,"CUMMINS CANADA ULC",2018-12-14,2018-11-20
EB14490730,R.097716.005,"DILLON CONSULTING LIMITED",2018-12-14,2018-11-20
700423232,R.099876.001,"NADINE INTERNATIONAL INC.",2018-12-14,2018-11-16
EB14491438,R.101052.001,"NORTHERN CONTRACTING LIMITED",2018-12-14,2018-11-20
E172342001,,"WHITE BEAR INDUSTRIES LTD.",2018-12-15,2018-11-21
E020850548,R.036324.001,"WRIGHT CONSTRUCTION WESTERN INC",2018-12-15,2018-11-21
EJ19671722,R.041736.443,"ANKORENG INC",2018-12-15,2018-11-21
EQ75452367,R.050927.102,"MCNALLY CONSTRUCTION INC",2018-12-15,2018-10-22
EH90181236,R.061511.318,"E D BRUNET ET ASSOCIÉS CANADA INC.",2018-12-15,2018-11-21
EJ19680384,R.065220.574,"JOHNSON CONTROLS CANADA LP",2018-12-15,2018-11-21
EQ75481594,R.066414.001,"JUMEC CONSTRUCTION INCORPORATED",2018-12-15,2018-12-06
EQ73481309,R.079534.003,"JEFFREY G WALLANS CONSTRUCTION",2018-12-15,2018-11-15
EB14490921,R.090299.001,"DORA CONSTRUCTION LIMITED",2018-12-15,2018-11-19
EC15191411,R.098106.002,"ECO-TECHNOLOGIES LTEE",2018-12-15,2018-11-21
EE51791145,R.099263.001,"JEAN FOURNIER INC",2018-12-15,2018-11-21
EJ19670105,,"JOHNSON CONTROLS CANADA LP",2018-12-18,2018-11-22
EJ19690370,,"R&R AUTOMATION INC.",2018-12-18,2018-11-22
EF95050233,R.038933.001,"CELEB CONSTRUCTION LTEE",2018-12-18,2018-11-23
EJ19640084,R.041736.183,"CUMMINS CANADA ULC",2018-12-18,2018-11-23
EJ19640084,R.041736.423,"CUMMINS CANADA ULC",2018-12-18,2018-11-23
EJ19640084,R.041736.442,"CUMMINS CANADA ULC",2018-12-18,2018-11-23
EJ19672914,R.041736.958,"CUMMINS CANADA ULC",2018-12-18,2018-11-22
EF99772663,R.055095.101,"P. & B. ENTREPRISES LTÉE",2018-12-18,2018-11-22
EF92870307,R.057850.101,"6834973 CANADA INC",2018-12-18,2018-11-23
EF92870307,R.057850.300,"6834973 CANADA INC",2018-12-18,2018-11-23
EJ19640144,R.064594.754,"G A L POWER SYSTEMS OTTAWA LTD",2018-12-18,2018-11-22
EF182916,R.075573.001,"CONSTRUCTION SOCAM LTEE",2018-12-18,2018-11-22
EW03873394,R.075711.001,"DEVLIN CONSTRUCTION LTD.",2018-12-18,2018-11-23
EW03870868,R.078314.003,"851791 NWT LTD",2018-12-18,2018-10-25
EP92290710,R.082782.001,"MARTECH ELECTRICAL SYSTEMS LTD.",2018-12-18,2018-11-22
E190650001,R.093876.001,"ONLINE CONSTRUCTORS LTD.",2018-12-18,2018-11-24
E022582190,R.095594.002,"RYCOM CORPORATION, BUILT ENVIRONMEN",2018-12-18,2018-11-23
E022582190,R.095594.004,"RYCOM CORPORATION, BUILT ENVIRONMEN",2018-12-18,2018-11-23
E191024001,R.097978.001,"DIRECT ROOFING AND WATERPROOFING LT",2018-12-18,2018-11-21
E899190901,R.074926.027,"ZUTPHEN CONTRACTORS INC.",2018-12-19,2018-11-21
EJ19632660,,"BASE CONTROLS LTD.",2018-12-20,2018-11-19
EJ19660026,R.010277.114,"JOHNSON CONTROLS CANADA LP",2018-12-20,2018-11-26
700398831,R.014204.301,"ENERCHEM INTERNATIONAL INC.",2018-12-20,2018-11-26
E151176001,R.016017.001,"EVERGREEN BUILDING MAINTENANCE INC.",2018-12-20,2018-11-22
EJ19651337,R.026001.075,"CUMMINS CANADA ULC",2018-12-20,2018-11-26
EJ19280349,R.040803.007,"CIMA CANADA INC.",2018-12-20,2018-11-26
EJ19682733,R.041736.501,"CHUBB EDWARDS A UTC FIRE & SECURITY",2018-12-20,2018-11-26
EJ19661833,R.041736.859,"AV-TECH INC.",2018-12-20,2018-11-19
EJ19640084,R.041736.905,"CUMMINS CANADA ULC",2018-12-20,2018-11-26
EJ19650923,R.064594.350,"AINSWORTH INC.",2018-12-20,2018-11-19
EJ19680241,R.064594.556,"BAXTEC MANAGEMENT CORPORATION",2018-12-20,2018-11-22
EQ75471503,R.077680.001,"POMERLEAU INC.",2018-12-20,2018-11-26
EF92891196,R.082187.002,"SNC-LAVALIN GRANDS PROJETS INC.",2018-12-20,2018-11-22
EP75880903,R.086139.452,"9420410 CANADA INC",2018-12-20,2018-11-22
EF92891196,R.090123.001,"SNC-LAVALIN GRANDS PROJETS INC.",2018-12-20,2018-11-22
EQ75481281,R.090864.001,"BUTTCON EAST LIMITED",2018-12-20,2018-11-26
EP74983094,R.093575.211,"2355335 ONTARIO LTD",2018-12-20,2018-11-26
EA01190910,R.095593.001,"R J G CONSTRUCTION LTD.",2018-12-20,2018-11-20
EF92891196,R.099918.001,"SNC-LAVALIN GRANDS PROJETS INC.",2018-12-20,2018-11-22
EF92891196,R.099919.001,"SNC-LAVALIN GRANDS PROJETS INC.",2018-12-20,2018-11-22
EA03151688,R.053455.008,"OTIS CANADA INC",2018-12-21,2018-09-13
EP75081458,R.054087.068,"DELCO AUTOMATION INC.",2018-12-21,2018-11-27
EJ19610098,R.064594.560,"VERTIV CANADA ULC",2018-12-21,2018-11-27
EQ75017086,R.065728.301,"MAPLE REINDERS CONSTRUCTORS LTD.",2018-12-21,2018-12-13
ED00171938,R.073771.013,"QUINAN CONSTRUCTION LIMITED",2018-12-21,2018-11-15
EV38583328,R.076325.020,"RELY-EX CONTRACTING INC.",2018-12-21,2018-11-21
EQ75017086,R.076951.109,"MAPLE REINDERS CONSTRUCTORS LTD.",2018-12-21,2018-12-13
EQ75017086,R.076951.209,"MAPLE REINDERS CONSTRUCTORS LTD.",2018-12-21,2018-12-13
EQ75017086,R.076951.309,"MAPLE REINDERS CONSTRUCTORS LTD.",2018-12-21,2018-12-13
EQ75017086,R.076951.409,"MAPLE REINDERS CONSTRUCTORS LTD.",2018-12-21,2018-12-13
EQ75017086,R.076951.509,"MAPLE REINDERS CONSTRUCTORS LTD.",2018-12-21,2018-12-13
EQ75017086,R.076951.609,"MAPLE REINDERS CONSTRUCTORS LTD.",2018-12-21,2018-12-13
EQ75017086,R.076951.709,"MAPLE REINDERS CONSTRUCTORS LTD.",2018-12-21,2018-12-13
EE51772683,R.081835.001,"INTERLAG CONSTRUCTION INC.",2018-12-21,2018-11-27
EF190694,R.082975.001,"BÄHLER BIOGAZ INC.",2018-12-21,2018-11-27
EP748A1136,R.086139.361,"SOLOTECH INC",2018-12-21,2018-11-23
EF92880747,R.090129.001,"GROUPE AKIFER INC.",2018-12-21,2018-11-27
700419727,R.090716.001,"SUTHERLAND EXCAVATING LTD.",2018-12-21,2018-11-27
700419727,R.094411.001,"SUTHERLAND EXCAVATING LTD.",2018-12-21,2018-11-27
